id,bus,name,kind,P,Q,status,Qmin,Qmax,Vsp,fracS,fracY,bus_reg
190,61,corporate_drive_138kV_9,LOAD,7.11,5.21,1,0,0,,1,0,61
191,62,hartley_road_69kV_1,LOAD,2.09,0.96,1,0,0,,1,0,62
192,62,hartley_road_69kV_2,LOAD,2.09,0.96,1,0,0,,1,0,62
193,62,hartley_road_69kV_3,LOAD,2.09,0.96,1,0,0,,1,0,62
194,62,hartley_road_69kV_4,LOAD,2.09,0.96,1,0,0,,1,0,62
195,62,hartley_road_69kV_5,LOAD,2.09,0.96,1,0,0,,1,0,62
196,62,hartley_road_69kV_6,LOAD,2.09,0.96,1,0,0,,1,0,62
197,58,westtown_69kV_1,LOAD,0,0,1,0,0,,1,0,58
198,58,westtown_69kV_2,LOAD,0,0,1,0,0,,1,0,58
199,58,westtown_69kV_3,LOAD,0,0,1,0,0,,1,0,58
200,58,westtown_69kV_4,LOAD,0,0,1,0,0,,1,0,58
201,64,UNIDENTIFIED: ROCK TAV,CTRL_V,0,0,1,0,270,1.035,0,1,64
202,13,new_hempstead_138kV,CTRL_V,0,0,1,0,32,1,0,1,13
203,26,cuddebackville_69kV,CTRL_V,0,0,1,0,32,1.015,0,1,26
204,27,harriman_69kV,CTRL_V,0,0,1,0,16,1,0,1,27
205,33,monroe_69kV,CTRL_V,0,0,1,0,32,1,0,1,33
206,35,orangeburg_69kV,CTRL_V,0,0,1,0,32,1,0,1,35
207,37,ringwood_69kV,CTRL_V,0,0,1,0,16,1,0,1,37
208,40,shoemaker_69kV,CTRL_V,0,0,1,0,16,1,0,1,40
209,48,wisner_69kV,CTRL_V,0,0,1,0,16,1,0,1,48
210,59,little_tor_138kV,CTRL_V,0,0,1,0,32,1,0,1,59
211,60,snake_hill_138kV,CTRL_V,0,0,1,0,32,1,0,1,60
212,62,hartley_road_69kV,CTRL_V,0,0,1,0,32,1,0,1,62
