Feeder,Pf,QF,Pg,B,R,P_rsrv,P_0,Cost,time
feeder553,3.9109931275698386,0.14328354585755254,-0.0,0.24999929304647234,6.872430161217406e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder554,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.8724301612327495e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder555,3.1289931275698386,-0.15645,-0.0,0.24999929304647234,6.872430161212945e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder556,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161172383e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder557,2.9479931375119706,0.10315776480796351,-0.0,0.24999929465145454,6.86248802951948e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder558,4.050993137511971,0.20255,-0.0,0.24999929465145454,6.862488029525055e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder559,2.5419931375119704,-0.1271,-0.0,0.24999929465145454,6.862488029567071e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder560,3.7309931375119705,-0.18655,-0.0,0.24999929465145454,6.862488029581164e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder561,1.876993131421706,0.07873712480685591,-0.0,0.24999929210650604,6.868578293932231e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder562,1.854993131421706,-0.09275,-0.0,0.24999929210650604,6.8685782940054685e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder563,2.8519931314217057,0.1426,-0.0,0.24999929210650604,6.868578294019544e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder564,2.580993131421706,-0.12905,-0.0,0.24999929210650604,6.8685782939368274e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder565,3.9109931275698386,0.14328354585755254,-0.0,0.24999929304647234,6.872430161217406e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder566,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.8724301612327495e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder567,3.1289931275698386,-0.15645,-0.0,0.24999929304647234,6.872430161212945e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder568,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161172383e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder569,2.9479931375119706,0.10315776480796351,-0.0,0.24999929465145454,6.86248802951948e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder570,4.050993137511971,0.20255,-0.0,0.24999929465145454,6.862488029525055e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder571,2.5419931375119704,-0.1271,-0.0,0.24999929465145454,6.862488029567071e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder572,3.7309931375119705,-0.18655,-0.0,0.24999929465145454,6.862488029581164e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder573,1.876993131421706,0.07873712480685591,-0.0,0.24999929210650604,6.868578293932231e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder574,1.854993131421706,-0.09275,-0.0,0.24999929210650604,6.8685782940054685e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder575,2.8519931314217057,0.1426,-0.0,0.24999929210650604,6.868578294019544e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder576,2.580993131421706,-0.12905,-0.0,0.24999929210650604,6.8685782939368274e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder577,3.9109931275698386,0.14328354585755254,-0.0,0.24999929304647234,6.872430161217406e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder578,2.1929931275698387,0.10965000000000001,-0.0,0.24999929304647234,6.8724301612327495e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder579,3.1289931275698386,-0.15645,-0.0,0.24999929304647234,6.872430161212945e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder580,1.871993127569839,-0.09360000000000002,-0.0,0.24999929304647234,6.872430161172383e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder581,2.9479931375119706,0.10315776480796351,-0.0,0.24999929465145454,6.86248802951948e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder582,4.050993137511971,0.20255,-0.0,0.24999929465145454,6.862488029525055e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder583,2.5419931375119704,-0.1271,-0.0,0.24999929465145454,6.862488029567071e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder584,3.7309931375119705,-0.18655,-0.0,0.24999929465145454,6.862488029581164e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder585,1.876993131421706,0.07873712480685591,-0.0,0.24999929210650604,6.868578293932231e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder586,1.854993131421706,-0.09275,-0.0,0.24999929210650604,6.8685782940054685e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder587,2.8519931314217057,0.1426,-0.0,0.24999929210650604,6.868578294019544e-6,0,2818.4235493466317,12105.129144443783,122.422
feeder588,2.580993131421706,-0.12905,-0.0,0.24999929210650604,6.8685782939368274e-6,0,2818.4235493466317,12105.129144443783,122.422
