id,bus,name,kind,P,Q,status,Qmin,Qmax,Vsp,fracS,fracY,bus_reg
129,43,sterling_forest_69kV_1,LOAD,1.54,0.66,1,0.00,0.00,,1.00,0.00,43
130,43,sterling_forest_69kV_2,LOAD,1.54,0.66,1,0.00,0.00,,1.00,0.00,43
131,45,swinging_bridge_69kV,LOAD,0.14,0.08,1,0.00,0.00,,1.00,0.00,45
132,46,tallman_138kV_1,LOAD,4.29,0.68,1,0.00,0.00,,1.00,0.00,46
133,46,tallman_138kV_2,LOAD,4.29,0.68,1,0.00,0.00,,1.00,0.00,46
134,46,tallman_138kV_3,LOAD,4.29,0.68,1,0.00,0.00,,1.00,0.00,46
135,46,tallman_138kV_4,LOAD,4.29,0.68,1,0.00,0.00,,1.00,0.00,46
136,46,tallman_138kV_5,LOAD,4.29,0.68,1,0.00,0.00,,1.00,0.00,46
137,46,tallman_138kV_6,LOAD,4.29,0.68,1,0.00,0.00,,1.00,0.00,46
138,46,tallman_138kV_7,LOAD,4.29,0.68,1,0.00,0.00,,1.00,0.00,46
139,46,tallman_138kV_8,LOAD,4.29,0.68,1,0.00,0.00,,1.00,0.00,46
140,47,west_nycak_69kV_1,LOAD,24.27,8.40,1,0.00,0.00,,1.00,0.00,47
141,47,west_nycak_69kV_2,LOAD,1.59,-13.05,1,0.00,0.00,,1.00,0.00,47
142,48,wisner_69kV_1,LOAD,3.28,0.55,1,0.00,0.00,,1.00,0.00,48
143,48,wisner_69kV_2,LOAD,3.28,0.55,1,0.00,0.00,,1.00,0.00,48
144,48,wisner_69kV_3,LOAD,3.28,0.55,1,0.00,0.00,,1.00,0.00,48
145,48,wisner_69kV_4,LOAD,3.28,0.55,1,0.00,0.00,,1.00,0.00,48
146,48,wisner_69kV_5,LOAD,3.28,0.55,1,0.00,0.00,,1.00,0.00,48
147,48,wisner_69kV_6,LOAD,3.28,0.55,1,0.00,0.00,,1.00,0.00,48
148,73,cuddebackville_34.5kV_1,LOAD,6.04,3.11,1,0.00,0.00,,1.00,0.00,73
149,73,cuddebackville_34.5kV_2,LOAD,6.04,3.11,1,0.00,0.00,,1.00,0.00,73
150,73,cuddebackville_34.5kV_3,LOAD,6.04,3.11,1,0.00,0.00,,1.00,0.00,73
151,49,west_milford_69kV_1,LOAD,3.58,0.65,1,0.00,0.00,,1.00,0.00,49
152,49,west_milford_69kV_2,LOAD,3.58,0.65,1,0.00,0.00,,1.00,0.00,49
153,49,west_milford_69kV_3,LOAD,3.58,0.65,1,0.00,0.00,,1.00,0.00,49
154,49,west_milford_69kV_4,LOAD,3.58,0.65,1,0.00,0.00,,1.00,0.00,49
155,49,west_milford_69kV_5,LOAD,3.58,0.65,1,0.00,0.00,,1.00,0.00,49
156,49,west_milford_69kV_6,LOAD,3.58,0.65,1,0.00,0.00,,1.00,0.00,49
