timestamp,Pg_1,Pg_2,Pg_3,Pg_4,Pg_5,Pg_6,Pg_7,Pg_8,Pg_9,Pg_10,Pg_11,Pg_12,Qg_1,Qg_2,Qg_3,Qg_4,Qg_5,Qg_6,Qg_7,Qg_8,Qg_9,Qg_10,Qg_11,Qg_12
209.0,3.603422943807996e-7,3.603422943807996e-7,3.603422943807996e-7,3.603422943807996e-7,3.9948937498880434e-7,3.9948937498880434e-7,3.6144085602012844e-7,3.6144085602012844e-7,3.6024086999605964e-7,3.6024086999605964e-7,3.6024086999605964e-7,3.6024086999605964e-7,7.212425952036171e-10,2.1636443943201046e-8,-1.3722186543629708e-8,1.1698755030345545e-8,1.3470597940849318e-8,5.304162608537682e-9,-1.8526003110266498e-9,1.2568353371214969e-8,-2.1769296601800918e-8,5.877371657019001e-9,-1.763096416144374e-8,-9.730519158825143e-9
210.0,3.9633146559502987e-7,3.9633146559502987e-7,3.9633146559502987e-7,3.59362525294916e-7,3.89797095913564e-7,3.89797095913564e-7,3.89797095913564e-7,3.6075000907700067e-7,3.9380477481915455e-7,3.9380477481915455e-7,3.9380477481915455e-7,3.595651353223464e-7,-1.74385140817684e-8,-3.4100821365819647e-10,-5.922726446037284e-9,-3.733584836479198e-9,-5.467937398899632e-9,5.837056714677675e-9,-1.336916144976866e-8,-4.05759728692249e-9,-3.6331229656923173e-9,-3.3768604735977295e-10,6.261058242094895e-10,6.388470173414151e-8
211.0,3.535273375545378e-7,3.535273375545378e-7,3.535273375545378e-7,3.535273375545378e-7,3.8170319354037465e-7,3.8170319354037465e-7,3.4597738853024986e-7,3.4597738853024986e-7,3.6390343198527717e-7,3.6390343198527717e-7,3.6390343198527717e-7,3.6390343198527717e-7,-1.5875713649771316e-8,6.464581446368287e-9,-1.1718997657688454e-8,-2.29088512960047e-9,-1.8689909526223174e-8,-8.540560170246304e-9,-1.1634438300126009e-8,7.279700744377238e-8,-2.5623629832182507e-8,-1.0590020407237049e-8,-1.3964148311304033e-8,-8.810967181783757e-8
212.0,3.9452977944089443e-7,3.9452977944089443e-7,3.9452977944089443e-7,3.5736742648634933e-7,3.852417582640005e-7,3.852417582640005e-7,3.852417582640005e-7,3.5206050887039516e-7,3.9222497209523714e-7,3.9222497209523714e-7,3.9222497209523714e-7,3.547838937014277e-7,-1.0597452777000456e-8,-9.689210368646857e-10,-1.0477692987361237e-8,-2.215601929129969e-8,-5.719974208856844e-9,1.1284477890419164e-8,-8.788184963897449e-9,-4.793526495325988e-9,-2.0785306435290376e-8,-7.612980739843385e-9,-1.6828883174543262e-8,-8.402293689389055e-9
213.0,3.5539447592300343e-7,3.5539447592300343e-7,3.5539447592300343e-7,3.5539447592300343e-7,3.927837567846278e-7,3.927837567846278e-7,3.549848868686138e-7,3.549848868686138e-7,3.5811178264185497e-7,3.5811178264185497e-7,3.5811178264185497e-7,3.5811178264185497e-7,-7.114956911750854e-9,2.15046313831892e-8,8.573882719580443e-10,-2.3616302993371062e-8,-5.879479679234717e-9,1.90787568735926e-8,-4.939680534329552e-9,-4.364037167773419e-9,-1.0449530955006974e-9,7.597569730886136e-9,4.134108068417413e-9,-7.461324520403198e-9
214.0,3.9884855733519704e-7,3.9884855733519704e-7,3.9884855733519704e-7,3.567513056043669e-7,3.9047566473466305e-7,3.9047566473466305e-7,3.9047566473466305e-7,3.5283804448353276e-7,3.942875783612616e-7,3.942875783612616e-7,3.942875783612616e-7,3.5798660224839845e-7,-2.192179880504093e-8,-1.000599693411185e-8,-7.151851624472422e-9,-6.7883168491269615e-9,9.426896644703596e-10,4.030388780832838e-10,-1.4305787920396725e-8,8.55606038720628e-8,-9.355573783419422e-10,1.0689253360642209e-8,-3.2996334174610676e-9,-7.428790423299098e-9
215.0,3.568036703981329e-7,3.568036703981329e-7,3.568036703981329e-7,3.568036703981329e-7,3.9916742620234074e-7,3.9916742620234074e-7,3.564369240289695e-7,3.564369240289695e-7,3.6236449626415546e-7,3.6236449626415546e-7,3.6236449626415546e-7,3.6236449626415546e-7,-1.8551211166840953e-8,-1.531540262829645e-8,-6.145961982767714e-9,6.805304918936001e-8,-7.150968673407184e-9,3.7786761259624636e-9,-1.0038614110291473e-8,-6.231696483254238e-9,-8.596798324727128e-9,-1.0363343101555232e-8,-1.8943470124342796e-8,-8.229004233232851e-9
216.0,3.921849387402843e-7,3.921849387402843e-7,3.921849387402843e-7,3.568975361840776e-7,3.9192987892811525e-7,3.9192987892811525e-7,3.9192987892811525e-7,3.6094840548078977e-7,3.947524576000929e-7,3.947524576000929e-7,3.947524576000929e-7,3.5736903829513554e-7,-2.6541326487184037e-8,-3.0591048666999595e-9,-1.5212484926959985e-8,-2.5186731404947334e-8,-1.275252768859801e-8,-1.0936578975473081e-8,-1.592285629887767e-8,-2.5325698343377864e-8,-1.2205535368931544e-8,-8.35851656902445e-9,-1.5348858515575715e-8,9.953564734184118e-9
217.0,3.660407780755584e-7,3.660407780755584e-7,3.660407780755584e-7,3.660407780755584e-7,3.999189607061456e-7,3.999189607061456e-7,3.640051789668933e-7,3.640051789668933e-7,3.6579611511387e-7,3.6579611511387e-7,3.6579611511387e-7,3.6579611511387e-7,-6.911527766565201e-9,-1.4401115030736474e-8,-2.923703768339533e-9,-2.221842293110227e-8,-2.9433097444907506e-9,1.5830096647773961e-9,-1.1110241025051392e-8,-4.874358354782127e-9,-8.133416932101809e-9,3.412660548345954e-10,2.9552600884504353e-9,-1.0509998620371433e-8
218.0,3.946557161814995e-7,3.946557161814995e-7,3.946557161814995e-7,3.6476589188004333e-7,3.94978489947888e-7,3.94978489947888e-7,3.94978489947888e-7,3.672165123081099e-7,3.993966075937138e-7,3.993966075937138e-7,3.993966075937138e-7,3.600181206712786e-7,-6.678781171769776e-9,2.909818593725777e-9,-1.855239889596899e-8,-2.39873941038826e-8,1.5108669624950973e-9,1.4408152906648365e-8,1.1320162181040637e-9,6.988420374002526e-8,-2.3203062309611525e-8,-1.3461532818343011e-8,-1.1745735270446107e-8,4.826134685646489e-9
