timestamp,bnk139_Pf_1,bnk139_Pf_2,bnk139_Pf_3,bnk139_Pf_4,bnk239_Pf_5,bnk239_Pf_6,bnk239_Pf_7,bnk239_Pf_8,bnk276_Pf_9,bnk276_Pf_10,bnk276_Pf_11,bnk276_Pf_12
112,6.310084579234166,3.956844487371978,4.919729362583015,3.0246175987521458,4.281473551026184,7.116790569868523,3.901313167317851,6.163780779286046,2.607149574888931,2.9708327308382225,4.715881534851216,4.127191022545235
113,6.821256276930115,4.277383283442167,5.318270202867819,3.26963791399851,4.6283101229036365,7.693312464633319,4.217353443789622,6.663100597524632,2.818330353647545,3.2114720772350327,5.097870947601221,4.461496128252028
114,6.291746365008203,3.945345202226571,4.905431764848477,3.0158275287014105,4.269030836796981,7.09610792632662,3.8899752659432343,6.145867749602673,2.599535297076659,2.962156302771238,4.70210862650642,4.115137406852199
115,7.5005384453154225,4.703338572883265,5.847880287696486,3.5952387479046184,5.089211811479479,8.459436732785543,4.637330772868062,7.3266331255962704,3.0989481827098535,3.5312345640001386,5.605459944861325,4.905722035360343
116,6.765702298633237,4.242547228550132,5.274956910501677,3.2430091836974295,4.5906160340612905,7.63065624760526,4.183006286583559,6.60883467773553,2.7953253382447216,3.185257987567755,5.056258863510586,4.425078542564374
117,6.044735069003731,3.7904526215264047,4.7128465925606005,2.897427417957352,4.101430495253508,6.817517736293226,3.737256485477149,5.904583586219291,2.4974367847205845,2.8458156044090286,4.51743012021999,3.953512593427689
118,7.90552327254947,4.9572911088578,6.163631324140716,3.789360430474578,5.363999225910605,8.91619641060097,4.887719277049394,7.7222280915056905,3.266222331466863,3.7218425448144328,5.908029876781991,5.170521712257759
119,10.699061707485798,6.709026290493208,8.34164540482178,5.128389314636448,7.259450986147798,12.06687176854253,6.614870180143678,10.450996350511682,4.420373743382328,5.036991788220495,7.9956896659624705,6.997575822154137
120,11.017552843769433,6.908741505250867,8.589960649288312,5.2810519111126055,7.475551318736391,12.426080062318713,6.81178254289495,10.762103043226775,4.551943035847278,5.186914279892171,8.233675703612546,7.205853708445759
121,9.440506579355125,5.919828165132742,7.360398554554461,4.525125136201964,6.405505143435523,10.64741801082014,5.836747853649043,9.221621718359724,3.900365402984142,4.4444451185382965,7.055084740924019,6.174388010142443
122,14.186436742306592,8.89584336222318,11.060617098736712,6.799995419327997,9.625679803940663,16.000086521809706,8.770996928031602,13.857514114240173,5.861137097430316,6.678733777565453,10.601780763645143,9.278344688548131
123,8.522697109222037,5.344300326043989,6.644817940258079,4.085190830915231,5.782759612545494,9.612272174031382,5.269297112544428,8.325092313719063,3.5211475582610734,4.012328451327434,6.369145411305087,5.574075508165382
124,7.546441006686657,4.732122544736153,5.883668742852698,3.6172412572541983,5.12035728979558,8.511207657849635,4.665710783443602,7.3714714034271465,3.1177976989632286,3.552713485035338,5.639555451500583,4.93556134914945
125,11.262018057998489,7.062037522622769,8.780560739900537,5.398231606559676,7.641424111046045,12.701798669484731,6.962927166591697,11.00090015755198,4.652868211326825,5.301917967278616,8.416231846930824,7.365621096630895
126,8.880089483584696,5.568409215325677,6.923462978377146,4.256499987168777,6.025254935541289,10.015354992917432,5.4902608030452695,8.674198291634072,3.6687712104427908,4.180544798395289,6.636171002063807,5.807767896921282
127,10.223898192173277,6.411067029796131,7.971178754342288,4.900628828599728,6.9370464291759015,11.530961483591621,6.321092552341617,9.986849839331832,4.223948213694398,4.813165967719191,7.640389940411379,6.686628690261539
128,10.199145779506154,6.395545613818067,7.951880253686057,4.888764235974308,6.920251598801183,11.503044625292988,6.305788967698881,9.962671328961202,4.21371089081965,4.801500594099898,7.62187239835076,6.670422720542538
129,8.424611517570147,5.28279410885387,6.568344390777591,4.038175390318659,5.71620727697517,9.501646935186667,5.2086540885990775,8.229280906287467,3.4805656585626323,3.9660855978045952,6.295739791128802,5.5098332208311875
130,7.812554743039903,4.898993631404075,6.091147350482174,3.7447977551326153,5.300918882822508,8.811342419216194,4.830239960604818,7.631415103490387,3.2276908751958078,3.677936160401568,5.83833315324539,5.109525334474459
131,12.96499898865141,8.129920309761482,10.10830923253151,6.214522739984906,8.79691857723549,14.62249536946582,8.015823026389155,12.664396263831287,5.356365587246776,6.103549392867547,9.688736622595073,8.47927720683111
132,13.675020877777923,8.575151457240754,10.66188589099784,6.55485806740962,9.27867756172659,15.423289244965517,8.454805691415391,13.357955790350584,5.6496898768704025,6.437790822188251,10.219309403874163,8.943617797984444
133,7.758994660013522,4.865407882020689,6.0493886212894745,3.719124760154808,5.264577677567846,8.750935004859508,4.797125561815123,7.579096849091482,3.205539797491557,3.652695128087596,5.798265694389686,5.07445955615425
134,7.047166016642907,4.419043778955635,5.494403306283907,3.377923399856095,4.781592787082587,7.948103392558503,4.357025841377965,6.883772459210553,2.9114476259064226,3.3175787014569416,5.266303947783063,4.608903386282903
135,4.064950472852486,2.5489954481558756,3.169284967201697,1.94845577485709,2.7581211816120472,4.584629703282079,2.5132222246946547,3.9707017043436803,1.6793793637502743,1.9136436318718428,3.0377060862944543,2.6585047134524835
136,4.086498195840141,2.5625073096608237,3.1860848950232725,1.958784261162326,2.772741588818646,4.608932171788658,2.5265444574415983,3.99174982804487,1.6882762030284257,1.9237815317388514,3.053798925951404,2.6725886599784046
137,9.994991384906868,6.267527172749723,7.792708953048376,4.790906756092075,6.781730216111776,11.272790331228078,6.179567168638198,9.76325039923563,4.12927366357824,4.705284833866544,7.469140094597621,6.536756217632283
138,13.863765052192974,8.693506660991195,10.809042437827982,6.645328954832652,9.406742911805685,15.636163215786,8.571499869386194,13.542323796809685,5.727581903340778,6.52654836181632,10.360202574285927,9.066923064192686
139,7.863408509806898,4.930882339735541,6.130796069357492,3.769173529497427,5.335423817684944,8.868697531215908,4.861681135030385,7.681089789497644,3.248625588154998,3.7017911517180964,5.876200419179247,5.1426655732305795
140,4.132218435267206,2.591176953477272,3.221731200797665,1.980699377996948,2.8037633593504956,4.6604974661553085,2.5548117444882292,4.036410011195553,1.7071472332160667,1.9452849677848898,3.087933347567512,2.70246203092987
141,4.247276432924526,2.663326002834972,3.3114374800664956,2.035850214760177,2.881831690704564,4.790264930035317,2.625948236500228,4.148800307325213,1.7546764787645228,1.9994442840387012,3.173905511806275,2.777702161924001
142,4.1535011087325,2.6045226112288056,3.2383244797381794,1.9909008179148,2.8182039270469494,4.684501000167807,2.567970106025747,4.057199230736113,1.715929883150804,1.9552927495174448,3.103819638501186,2.716365212517121
143,5.0647887542547405,3.175960830688059,3.948820279142984,2.427709012093791,3.4365243160509795,5.712291236677995,3.1313886222196268,4.947358023909141,2.0924022188778806,2.3842809241912213,3.7847928183822304,3.312331496620948
144,9.827249172417515,6.1623416018665145,7.661926825207445,4.710502754912983,6.667914967338846,11.083603295615001,6.075857797696745,9.59939740927424,4.0598912255692206,4.626223923910378,7.343639294259522,6.426921869027515
145,9.03095446694256,5.663011636298214,7.041086582164302,4.3288142133839544,6.127618767263668,10.185507148154459,5.583535550581642,8.821565363027807,3.7309084173581075,4.251349807008864,6.748566435583057,5.906132841156542
146,7.740764473547429,4.853976337495992,6.035175248629185,3.710386471131657,5.252208261563233,8.730374199770496,4.785854450372833,7.561289342467517,3.197889111482834,3.643977213079191,5.7844269299302224,5.062348305263377
147,5.42574162720113,3.4023023903906298,4.230241300564312,2.600724824817857,3.68143548313306,6.119389742267848,3.3545536493004313,5.299941947715287,2.2414904735077315,2.5541661777662,4.054467621026442,3.548342392198917
148,5.1404844883002,3.223427111720334,4.00783732094798,2.4639923053633948,3.4878848452438356,5.797664210600855,3.1781887498935393,5.021298698510998,2.123637141596598,2.419872948389496,3.8412913778474964,3.3617772568014224
149,4.646381578254175,2.9135915855462384,3.6226043554991763,2.2271535849700097,3.152629665335633,5.240393244323741,2.8727015310191173,4.53865191593798,1.9195063136052692,2.1872669824676585,3.4720541036649406,3.0386324212211964
150,4.758922408629428,2.9841622028942276,3.710348096606653,2.281097866042147,3.228990066311533,5.367321736372095,2.942281743120988,4.648583407099713,1.9659913058827965,2.240236377810741,3.556137394796648,3.1122194699501016
151,11.599635730042023,7.27374635278031,9.043788205970586,5.560062139841773,7.870502044164471,13.082578710457177,7.171664823420775,11.330689923688807,4.791985584883228,5.460441456214694,8.667871054535395,7.58584780734676
152,13.186569546410986,8.268859848372443,10.28105924328113,6.3207283224854,8.947257050646076,14.872392377378077,8.15281265364742,12.88082955058446,5.447548260339701,6.207451551884,9.85367026832026,8.623621940031478
153,5.226761320550495,3.277528448048052,4.075104036568446,2.5053474444129735,3.5464247856689752,5.894971011872219,3.2315308148795205,5.105575141028446,2.159236083135346,2.460437748247983,3.905683690693598,3.4181313813771452
154,5.091523817667168,3.1927255011064455,3.9696645760504277,2.4405239501957454,3.4546644004584066,5.742444215578555,3.147918013166815,4.9734732158570925,2.103357776173521,2.396764722018528,3.8046095219776563,3.3296744516063637
155,5.258753601079953,3.2975897447330493,4.100047182721308,2.5206823283592295,3.568131959511724,5.931053311169744,3.2513105664367092,5.136825657774598,2.1724323994307286,2.475474878742687,3.929553538800837,3.43902152081124
156,6.937718233875582,4.350412709045231,5.409071094997547,3.32546171162582,4.707331058693262,7.8246633754698465,4.289357956632158,6.77686230114757,2.8660101967358655,3.2658029985647183,5.184115516677927,4.536974659382665
157,10.767318384936965,6.75182778617962,8.39486250136498,5.161106839300151,7.30576401975591,12.143854647664888,6.657070989206354,10.517670448338514,4.448017493996584,5.068491691378699,8.045692417753706,7.041336656002534
158,16.100253323473247,10.095934184135654,12.552746009329946,7.71734656407016,10.924228970895703,18.15857292976177,9.954245382815843,15.726957496488094,6.651037743200018,7.578821258224423,12.030574073254579,10.528779602341787
159,16.312445144043068,10.22899262811439,12.718183780733636,7.819056629402538,11.068203850488214,18.39789218589412,10.085436452157525,15.934229498745264,6.73865737779483,7.6786633542919045,12.189062800121619,10.667483945499319
160,16.31577312190945,10.231079492515233,12.72077847660842,7.82065183154231,11.070461926276963,18.40164562551903,10.087494028994673,15.937480315077304,6.739992896637365,7.680185170733995,12.191478522146015,10.669598109347238
161,14.849787024856834,9.31180829514079,11.577805707187387,7.117959610385194,10.075771503052136,16.74824210928143,9.18112410768525,14.505484148583738,6.134364062613119,6.990074415222289,11.096000969627728,9.710870650495595
