feeder_1,feeder_2,feeder_3
1.0136800198706346,1.0136961562045104,1.0136800198706346
1.0138334743068065,1.0138509470510184,1.0138334743068065
1.0137246524408423,1.0137411774936944,1.0137246524408423
1.0137723398649088,1.0137892802233728,1.0137723398649088
1.0138145230240858,1.0138318307356058,1.0138145230240858
1.013810854992967,1.0138281307619605,1.013810854992967
1.013711201736146,1.0137276096444292,1.013711201736146
1.0137729512275762,1.0137898969102164,1.0137729512275762
1.0138090209724286,1.013826280770072,1.0138090209724286
1.0136207105380133,1.0136363303017448,1.0136207105380133
1.0134513235417635,1.0134654678175439,1.0134513235417635
1.0136439455353738,1.0136597676740176,1.0136439455353738
1.0134861816630545,1.0135006295995441,1.0134861816630545
1.0134549928741474,1.0134691691152,1.0134549928741474
1.0135528368374656,1.0135678654001052,1.0135528368374656
1.013426249414889,1.013440175255091,1.013426249414889
1.0134482657546298,1.0134623833925058,1.0134482657546298
1.0136121483876148,1.0136281318109654,1.0136121483876148
1.0133809903489366,1.01339496023407,1.0133809903489366
1.0133008677191124,1.0133141395756107,1.0133008677191124
1.0131883183636776,1.0132006095958959,1.0131883183636776
1.0132415361931078,1.0132542911173166,1.0132415361931078
1.0131308154980647,1.0131426056747894,1.0131308154980647
1.0131589556060285,1.0131709909872546,1.0131589556060285
1.0132127866783707,1.0132252911083803,1.0132127866783707
1.0131730253669224,1.013185183345273,1.0131730253669224
1.0131375447254227,1.0131493935392504,1.0131375447254227
1.013073921153057,1.0130852155484822,1.013073921153057
1.013056179252159,1.0130673190376824,1.013056179252159
1.013037919878527,1.0130498166649822,1.013037919878527
1.0127588978846778,1.0127683630152853,1.0127588978846778
1.012917998790695,1.0129288505565142,1.012917998790695
1.0129118799871804,1.0129226784289609,1.0129118799871804
1.0128721068633344,1.012882558683101,1.0128721068633344
1.0128549733440708,1.0128652758413186,1.0128549733440708
1.0127662415535776,1.0127757706923597,1.0127662415535776
1.0126248665722386,1.0126331633899497,1.0126248665722386
1.0128513018379486,1.0128615723368541,1.0128513018379486
1.0127478822814757,1.0127572513980743,1.0127478822814757
1.012762569725784,1.0127720668605953,1.012762569725784
1.0124963267320028,1.012503502958021,1.0124963267320028
1.012521121801022,1.0125303877925758,1.012521121801022
1.0126570029550102,1.0126674532516122,1.0126570029550102
1.0125505030550896,1.0125600251396358,1.0125505030550896
1.0125841680272953,1.0125939835333886,1.0125841680272953
1.0125474425475713,1.0125569379564603,1.0125474425475713
1.0126062026757825,1.0126162102290115,1.0126062026757825
1.0126925004327463,1.0127032600898203,1.0126925004327463
1.0124697025547693,1.0124785203476843,1.0124697025547693
1.012612935389406,1.0126230016220306,1.012612935389406
1.0125505030550896,1.0125600251396358,1.0125505030550896
1.0125713142609059,1.012581017735629,1.0125713142609059
1.0124654174997065,1.012474197940672,1.0124654174997065
1.0123475176756764,1.0123573436417512,1.0123475176756764
1.0122562922920544,1.0122653231224334,1.0122562922920544
1.0123695574749605,1.0123795755327827,1.0123695574749605
1.0123805771946714,1.012390691295219,1.0123805771946714
1.0121595476683143,1.0121677351774803,1.0121595476683143
1.0120958626159386,1.0121034949392655,1.0120958626159386
1.0120860645598897,1.0120936114637848,1.0120860645598897
1.0121858778171857,1.0121942948538496,1.0121858778171857
1.0122569045703558,1.0122659407376957,1.0122569045703558
1.0121277056430207,1.0121356155680346,1.0121277056430207
1.0120138009669233,1.012020717851226,1.0120138009669233
1.0120689177335556,1.0120763151494496,1.0120689177335556
1.0120208298531361,1.0120305596016066,1.0120208298531361
1.0118144229470638,1.0118223534960764,1.0118144229470638
1.0118781257125355,1.0118866115827216,1.0118781257125355
1.012092480566836,1.012102834790925,1.012092480566836
1.0117758318211085,1.0117834259394978,1.0117758318211085
1.0117170234652901,1.0117241048779435,1.0117170234652901
1.0118119727606014,1.0118198819497055,1.0118119727606014
1.0115871429015995,1.0115930918770601,1.0115871429015995
1.0117176360699462,1.0117247228235926,1.0117176360699462
1.0118199358449003,1.0118279144533275,1.0118199358449003
1.011639219658459,1.0116456227121937,1.011639219658459
1.0116435082130757,1.0116499486594002,1.0116435082130757
1.0115366137937345,1.0115431199151164,1.0115366137937345
1.0115347756497521,1.0115412657442058,1.0115347756497521
1.0115997213777894,1.0116067777215794,1.0115997213777894
